mhn,mohon
miker,minumankeras
milis,mailinglist
mksd,maksud
mls,malas
mnt,menit
moge,motorgede
mokat,mati
mosok,masa
msh,masih
mskpn,meskipun
msng2,masing-masing
muahal,mahal
muker,musyawarahkerja
muna,munafik
munaslub,musyawarahnasionalluarbiasa
musda,musyawarahdaerah
muup,maaf
muuv,maaf
nal,kenal
nangis,menangis
naon,apa
napol,narapidanapolitik
naq,anak
narsis,banggapadadirisendiri
nax,anak
ndak,tidak
ndut,gendut
nekolim,neokolonialisme
nelfon,menelepon
ngabis2in,menghabiskan
ngakak,tertawa
ngambek,marah
ngampus,pergikekampus
ngantri,mengantri
ngapain,sedangapa
ngaruh,berpengaruh
ngawur,berbicarasembarangan
ngeceng,kumpulbareng-bareng
ngeh,sadar
ngekos,tinggaldikos
ngelamar,melamar
ngeliat,melihat
ngemeng,bicaraterus-terusan
ngerti,mengerti
nggak,tidak
ngikut,ikut
nginep,menginap
ngisi,mengisi
ngmg,bicara
ngocol,lucu
ngomongin,membicarakan
ngumpul,berkumpul
nyasar,tersesat
nyariin,mencari
nyiapin,mempersiapkan
nyiram,menyiram
nyok,ayo
o/,oleh
ok,ok
priksa,periksa
pro,profesional
psn,pesan
psti,pasti
puanas,panas
qmo,kamu
qt,kita
rame,ramai
raskin,rakyatmiskin
red,redaksi
reg,register
rejeki,rezeki
renstra,rencanastrategis
reskrim,resersekriminal
sni,sini
somse,sombongsekali
sorry,maaf
sosbud,sosial-budaya
sospol,sosial-politik
sowry,maaf
spd,sepeda
sprti,seperti
spy,supaya
stelah,setelah
subbag,subbagian
sumbangin,sumbangkan
syp,siapa
tabanas,tabunganpembangunannasional
tar,nanti
taun,tahun
tawh,tahu
tdi,tadi
te2p,tetap
tekor,rugi
telkom,telekomunikasi
telp,telepon
temen2,teman-teman
tengok,menjenguk
terbitin,terbitkan
tgl,tanggal
thanks,terimakasih
thd,terhadap
thx,terimakasih
tipi,TV
tkg,tukang
tll,terlalu
tlpn,telepon
tman,teman
tmbh,tambah
tmn2,teman-teman
tmph,tumpah
tnda,tanda
tnh,tanah
togel,totogelap
tq,thankyou
trgntg,tergantung
trims,terimakasih
cb,coba
munfik,munafik
reklamuk,reklamasi
tren,trend
ngehe,kesal
mz,mas
analisise,analisis
sadaar,sadar
sept,september
nmenarik,menarik
zonk,bodoh
rights,benar
simiskin,miskin
ngumpet,sembunyi
hardcore,keras
akhirx,akhirnya
solve,solusi
watuk,batuk
ngebully,intimidasi
masy,masyarakat
still,masih
tauk,tahu
mbual,bual
tioghoa,tionghoa
ngentotin,senggama
kentot,senggama
faktakta,fakta
sohib,teman
rubahnn,rubah
bdk2,anakanak
trlalu,terlalu
nyela,cela
heters,pembenci
nyembah,sembah
most,paling
ikon,lambang
light,terang
pndukung,pendukung
setting,atur
seting,akting
next,lanjut
waspadalah,waspada
gantengsaya,ganteng
parte,partai
